SAO Number,Distance (Solar Radii),Deflection,Weight
78568,1.900,9.600,0.130
78610,2.400,3.700,0.260
78604,3.700,8.200,0.330
78558,3.900,3.600,1.000
78586,4.300,5.400,1.000
18572,5.000,3.500,1.000
78503,5.100,5.100,0.220
78508,5.500,4.000,1.000
78507,5.600,1.800,1.000
78557,5.600,2.400,1.000
78596,5.600,4.600,1.000
78696,5.700,2.500,1.000
78702,5.800,-0.400,0.150
78546,5.900,1.200,0.210
78634,6.200,5.600,0.310
78707,6.200,0.300,0.300
18717,6.700,0.800,1.000
78467,6.900,3.500,1.000
78697,7.000,3.400,0.240
78452,7.100,1.700,0.430
78529,7.100,2.700,1.000
78722,7.100,2.100,0.100
78712,7.200,0.600,0.380
78542,7.300,3.100,0.280
78510,7.500,1.800,0.390
78514,7.500,3.100,0.140
78445,7.600,0.400,1.000
78482,7.600,-0.800,0.310
78437,7.800,-2.500,0.140
78646,8.000,-0.500,0.150
78430,8.300,3.600,0.180
78481,8.300,3.300,0.350
78742,8.400,2.100,0.590
78460,8.500,3.300,0.330
78471,8.500,4.400,0.220
78758,8.500,3.000,0.360
78626,8.600,2.300,0.350
78418,8.900,2.500,0.150
78534,9.000,1.200,0.470
